provinsi,JP,JK,IR,M,CFR,tahun
Aceh,5371532,2386,44.42,6,0.25,2019
Sumatera Utara,14562549,7731,53.09,38,0.49,2019
Sumatera Barat,5441197,2263,41.59,9,0.4,2019
Riau,6971745,4126,59.18,30,0.73,2019
Jambi,3624579,2158,59.54,16,0.74,2019
Sumatera Selatan,8470683,2799,33.04,16,0.57,2019
Bengkulu,1991838,1479,74.25,13,0.88,2019
Lampung,8447737,5611,66.42,17,0.3,2019
Kep. Bangka Belitung,1488792,1012,67.97,10,0.99,2019
Kep. Riau,2189653,1865,85.17,11,0.59,2019
DKI Jakarta,10557810,8705,82.45,0,0.0,2019
Jawa Barat,49316712,23483,47.62,97,0.41,2019
Jawa Tengah,34718204,9124,26.28,123,1.35,2019
DI Yogyakarta,3842932,3301,85.9,6,0.18,2019
Jawa Timur,39698631,18397,46.34,186,1.01,2019
Banten,12927316,2915,22.55,14,0.48,2019
Bali,4336923,4979,114.8,5,0.1,2019
Nusa Tenggara Barat,5070385,2971,58.6,16,0.54,2019
Nusa Tenggara Timur,5456203,4059,74.39,55,1.36,2019
Kalimantan Barat,5069127,2798,55.2,21,0.75,2019
Kalimantan Tengah,2714859,1616,59.52,24,1.49,2019
Kalimantan Selatan,4244096,2381,56.1,15,0.63,2019
Kalimantan Timur,3721389,6723,180.66,44,0.65,2019
Kalimantan Utara,742245,1774,239.0,15,0.85,2019
Sulawesi Utara,2506981,2381,94.97,27,1.13,2019
Sulawesi Tengah,3054023,1947,63.75,17,0.87,2019
Sulawesi Selatan,8851240,3265,36.89,19,0.58,2019
Sulawesi Tenggara,2704737,1479,54.68,8,0.54,2019
Gorontalo,1202631,1221,101.53,23,1.88,2019
Sulawesi Barat,1380256,796,57.67,8,1.01,2019
Maluku,1802870,236,13.09,5,2.12,2019
Maluku Utara,1255771,1195,95.16,16,1.34,2019
Papua Barat,959617,354,36.89,3,0.85,2019
Papua,3379302,597,17.67,6,1.01,2019
Aceh,5459891,891,0.0,1,0.11,2020
Sumatera Utara,14703532,3125,21.3,7,0.22,2020
Sumatera Barat,5498751,1117,20.3,3,0.27,2020
Riau,7128305,2948,41.4,38,1.29,2020
Jambi,3677894,2049,55.7,14,0.68,2020
Sumatera Selatan,8567923,2359,27.5,3,0.13,2020
Bengkulu,2019848,1276,63.2,10,0.78,2020
Lampung,8521201,6372,74.8,26,0.41,2020
Kep. Bangka Belitung,1517590,1144,75.4,9,0.79,2020
Kep. Riau,2242198,1753,78.2,9,0.51,2020
DKI Jakarta,10644986,4745,44.6,1,0.02,2020
Jawa Barat,49935858,22613,45.3,168,0.74,2020
Jawa Tengah,34940078,5683,16.3,107,1.88,2020
DI Yogyakarta,3882288,3618,93.2,13,0.36,2020
Jawa Timur,39886288,8567,21.5,73,0.85,2020
Banten,13160496,2910,22.1,25,0.86,2020
Bali,4380824,11964,273.1,23,0.19,2020
Nusa Tenggara Barat,5125622,4720,92.1,13,0.28,2020
Nusa Tenggara Timur,5541394,5968,107.7,59,0.99,2020
Kalimantan Barat,5134760,784,15.3,4,0.51,2020
Kalimantan Tengah,2769156,669,24.2,5,0.75,2020
Kalimantan Selatan,4303979,1768,41.1,20,1.13,2020
Kalimantan Timur,3793152,2299,60.6,18,0.78,2020
Kalimantan Utara,768505,515,67.0,8,1.55,2020
Sulawesi Utara,2528794,1219,48.2,18,1.48,2020
Sulawesi Tengah,3096976,1190,38.4,12,1.01,2020
Sulawesi Selatan,8928004,2714,30.4,27,0.99,2020
Sulawesi Tenggara,2755589,905,32.8,9,0.99,2020
Gorontalo,1219576,951,78.0,7,0.74,2020
Sulawesi Barat,1405012,630,44.8,3,0.48,2020
Maluku,1831880,77,4.2,5,6.49,2020
Maluku Utara,1278764,425,33.2,8,1.88,2020
Papua Barat,981822,163,16.6,0,0.0,2020
Papua,3435430,172,5.0,1,0.58,2020
