provinsi,tahun,KP
Aceh,2019,93.0
Sumatera Utara,2019,200.0
Sumatera Barat,2019,130.0
Riau,2019,80.0
Jambi,2019,72.0
Sumatera Selatan,2019,92.0
Bengkulu,2019,100.0
Lampung,2019,244.0
Kep. Bangka Belitung,2019,91.0
Kep. Riau,2019,267.0
DKI Jakarta,2019,15900.0
Jawa Barat,2019,1394.0
Jawa Tengah,2019,1058.0
DI Yogyakarta,2019,1227.0
Jawa Timur,2019,831.0
Banten,2019,1338.0
Bali,2019,750.0
Nusa Tenggara Barat,2019,273.0
Nusa Tenggara Timur,2019,112.0
Kalimantan Barat,2019,34.0
Kalimantan Tengah,2019,18.0
Kalimantan Selatan,2019,110.0
Kalimantan Timur,2019,29.0
Kalimantan Utara,2019,10.0
Sulawesi Utara,2019,181.0
Sulawesi Tengah,2019,49.0
Sulawesi Selatan,2019,189.0
Sulawesi Tenggara,2019,71.0
Gorontalo,2019,107.0
Sulawesi Barat,2019,82.0
Maluku,2019,38.0
Maluku Utara,2019,39.0
Papua Barat,2019,9.0
Papua,2019,11.0
Aceh,2020,91.0
Sumatera Utara,2020,203.0
Sumatera Barat,2020,132.0
Riau,2020,73.0
Jambi,2020,71.0
Sumatera Selatan,2020,92.0
Bengkulu,2020,101.0
Lampung,2020,260.0
Kep. Bangka Belitung,2020,89.0
Kep. Riau,2020,252.0
DKI Jakarta,2020,15907.0
Jawa Barat,2020,1365.0
Jawa Tengah,2020,1113.0
DI Yogyakarta,2020,1171.0
Jawa Timur,2020,851.0
Banten,2020,1232.0
Bali,2020,747.0
Nusa Tenggara Barat,2020,286.0
Nusa Tenggara Timur,2020,109.0
Kalimantan Barat,2020,37.0
Kalimantan Tengah,2020,17.0
Kalimantan Selatan,2020,105.0
Kalimantan Timur,2020,29.0
Kalimantan Utara,2020,9.0
Sulawesi Utara,2020,189.0
Sulawesi Tengah,2020,48.0
Sulawesi Selatan,2020,194.0
Sulawesi Tenggara,2020,69.0
Gorontalo,2020,104.0
Sulawesi Barat,2020,85.0
Maluku,2020,39.0
Maluku Utara,2020,40.0
Papua Barat,2020,11.0
Papua,2020,13.0
